Date,Description,Name,Reting,rating_count,reviews_count,label,noun,adjective
" October 26, 2018","The host is very friendly and welcoming. He is also very knowledgeable. We had a great experience and will be returning this weekend for another class! First, we took the champagne and chocolate class, and this weekend, we will be taking the Sangria making class. So far, so good!",Amber N.,5,1,1,1,"host,experience","friendly,great knowledgeable"
" October 11, 2018","it was a great experience!!  me and my family really enjoyed ourselves!!!!  the owner was very friendly, and made you feel right at home!!!  We are planni g another visit for the SHOT CLASSES___  i give that place 10 thumbs up, but i only have 2 so here you go________",Timi C.,5,13,2,1,"owner, experience","great, friendly"
" January 15, 2019",Robert is a great host! It great for a date night or just hanging out with a group of friends. I have participated in the wine tasting- cheese and chocolate paring and intend on signing up for other classes in the future.,Leanna W.,4,2,2,1,host,great
" October 5, 2018","The instructor was very nice and knowledgeable. The wine was delicious and if you follow instructions, you'll definitely get to tell the difference the pairing makes. Now I feel as if I can go anywhere and hold a glass of wine properly. I had a really good time.",Indira T.,5,2,2,1,"instructor,wine","nice,knowledgable,delicious"
" December 22, 2018","FULLY RECOMMEND! First and foremost, my motive of this class was to get familiar with making drinks and to obtain general knowledge in becoming a bartender. Robert, my instructor, was very patient with me. He caught my struggles before I could ask and acknowledged my strong points. I learned so much and had more fun then I would__e expected!",Brianna A.,5,1,1,1,"knowledge,instructor",general
" October 10, 2018",Was a great experience. Robert was a great instructor who really cares about his students. I would recommend this class to anyone!,Michael M.,5,1,1,1,"experience,instructor",great
" February 22, 2019",Was a great experience  I'll definitely do it again,Brenda N.,5,1,1,1,experience,great
" November 10, 2018",A frequent flyer to bar academy! Rob makes the experience great!,Leah S.,5,12,6,1,experience,great
" February 2, 2019","Rob was an awesome host. 
Very knowledgeable.",Tracey I.,5,8,2,1,host,"awesome,knowledgeable"
" September 17, 2018","This Groupon was such a good choice. The host of the wine tasting event was so thoroughly knowledgeable about the wines he was presenting. The wine was amazing, and the cheese was delicious too. This event is good for going with friends, your significant other, or both, it__ just all around a great time.",Jennifer R.,4,16,7,1,"choice,host,wine","good,knowledgeable,amazing"
" November 30, 2018","Literally the most fun date I__e ever been on!!! Rob is hilarious, knowledgeable, kind and genuine and I cannot wait to go back in December or January for the wine & cheese pairing. He genuinely loves his business and his goal is to make sure we have fun while learning! Awesome spot!",Alexzandra E.,5,7,2,1,,knowledgeable
" July 6, 2018",This place is amazing! The owner is awesome and definitely knows what he is doing. The pairings of champagne and chocolate were perfect and the atmosphere is great. I would recommend this 100%! Thanks for a great night! :),Guinevere S.,5,113,58,1,"place,owner","amazing,awesome"
 3 days ago,Omg where should I start ! It was super fun experience for my boyfriend and I. Trust me just do it ! You won__ regret it.,Fiorela T.,5,2,2,1,experience,super
" March 4, 2019",Awesome place! Great instructor!! Would absolutely go back!,Ashley B.,5,3,2,1,"place,instructor","awesome,great"
" February 28, 2019",Rob was an amazing teacher I had a great time super informative and fun!,Srujana S.,5,4,3,1,"teacher,time","great,amazing"
" February 28, 2019","We had a great time! Rob was wonderful, very friendly and knowledgeable!!",Bermary G.,5,6,3,1,time,"great,friendly,knowledgeable"
" February 27, 2019","Great expierence, definitely worth the price",Prince N.,5,3,2,1,"experience,price",great
" February 26, 2019",This was my fourth trip here for various events Rob is absolutely amazing this was the best class of them all,Emily G.,5,4,2,1,,amazing
" February 18, 2019",Such an fun experience. I will definitely be going back soon!,Gabriella S.,5,5,2,1,experience,fun
" February 18, 2019",I had a great time with my girlfriend in this class. We learned how to make about 75 drinks in 3 hours. Was fun. Rob was really helpful and let us make a mess of his bar lol  totally recommend!!!,Emily G.,5,4,2,1,time,"great,helpful"
" February 18, 2019",My 3rd trip here. Came with my wife for the shot making class. This is an insane time. Only bad part was this was only 1 hour. Wish it was 4 hours. lol. Learned a lot and rob is a maniac. In a good way !!!! He__ a wealth of knowledge and the complimentary shots were delicious!!!!,Robert T.,5,19,8,1,time,"insane,delicious"
" February 18, 2019",Not just saying this but the training class and the teacher Rob was amazing. Took the sangria class and the time we had - my wife and I - was fantastic. Highly recommend !!!,Robert T.,5,19,8,1,"class,time",fantastic
" February 11, 2019","Robert, the owner of the school explains the terms and acronyms in an easy-to-understand language, prepping you for real-life bartending. Highly recommended this class to all who want to do bartending as a job or fun!",Pinny T.,5,6,2,1,"owner,school,class",easy-to-understand
" February 5, 2019",Very fun. The owner (Rob I think his name is) makes it so relaxed and enjoyable.,Kimberly T.,5,4,2,1,owner,"relaxed,enjoyable"
" February 4, 2019",This was so fun! Rob was great. I highly recommend and would definitely do other classes here.,Elizabeth L.,5,2,1,1,class,great
" January 30, 2019",Rob was amazing and learning how to make shots and try shots was a great experience.,Jalen J.,5,1,1,1,experience,"great,amazing"
" January 23, 2019","Love this place,  I definitely have to go back",Corey C.,5,2,1,1,place,
" January 19, 2019",Great time. Don't like how they do two types of tastings at once but it eventually worked itself out.,Kera L.,4,28,26,1,time,great
" January 18, 2019","Rob was an awesome host. He was knowledgeable, friendly and cool to talk to. Will definitely come back for his other classes!",Christopher G.,5,2,2,1,host,"awesome,knowledgeable,friendly"
" January 12, 2019","Fun, relaxing night out learning something new!",Sylvia M.,5,11,2,1,"fun,night",relaxing
" January 9, 2019",This was a fun class to attend! Looking forward to returning and trying the wine and cheese class! Rob the owner was funny and made us all feel welcome!,Erin Q.,5,18,6,1,"owner,class",funny
" January 7, 2019","Rob is great at teaching how to become a bartender. The setup of the of the training area is great for working out the jitters, while still getting a feel of working at a bar. I definitely recommend if your looking to become a bartender.",Dion B.,5,2,1,1,"bartender,bar",great
" January 5, 2019",Fun and laid back environment with one on one interaction and teaching. Highly recommend for anyone looking for a good balance between learning and just enjoying some good drinks,Keegan G.,5,1,1,1,environment,enjoyable
" January 1, 2019",Robert explained how this certificate works over the phone. I bought for my son and he is so excited to go to his classes this year. Thank you so much!,Janet C.,5,17,3,1,class,excited
" December 16, 2018",My boyfriend and I had a great time. Much more relaxed atmosphere than the usual Montclair bar experience. Definitely recommend it!,Natasha C.,5,25,13,1,"time,experience","great,relaxed"
" December 3, 2018",Rob was an awesome host and I highly recommend going here,Tyrel B.,5,3,2,1,host,awesome
" June 19, 2018",Did this with my boyfriend for his birthday and he was really apprehensive about doing this but we had a really fun time Robert was a gracious host and really was a master at his craft - broke down the pairings fantastic and I learned a TON. Awesome environment but boo Red Sox. Go Yankees. Lol,Jessica C.,5,21,13,1,"host,environment","gracious,awesome"
" June 19, 2018",Presentation is good but wines were not as good as expected and cheese was supermarket varieties.,David L.,3,9,2,1,wine,good
" December 2, 2018",Had so much fun at Bar Academy!  Will definitely be back for the 2-hour sangria making class. Leaned a lot and had a lot of laughs. Whether there__ four people or twenty people they adjust the class and it__ a great time,Julie S.,5,1,1,1,"class,time",great
" November 24, 2018",A great evening out. Robert our host was great for a Red Sox fan. LOL Great wine ad good times.,Kimberly F.,5,7,5,1,"host,wine",great
" October 20, 2018",Great experience,Christie O.,5,3,1,1,experience,great
" October 7, 2018","It was such a great time. The teacher was cool, easy, & created such a chill environment for everyone. I__l definitely be back, but next time on date night with hubby __",Hollis K.,5,6,2,1,"time,teacher","great,cool"
" October 7, 2018",Love it cant wait to do it again,Lashanda P.,5,1,1,1,,
" October 7, 2018",Rob is a great __ost_ to an amazing evening of new experiences with wine or beer.,Kim M.,5,5,4,1,"wine,beer,experiences",amazing
" September 29, 2018",Amazing Host!! Will definitely be back!!,Daniel C.,5,1,1,1,host,amazing
" September 16, 2018","My wife and I had a AWESOME experience! The owner made an exception for us to come in even when he didn__ have any available classes that day, knowing that it was our anniversary week",Charles C.,5,8,3,1,"owner,experience",awesome
" September 15, 2018",Such a great and fun place!! We had a blast!!,Nicole K.,5,1,1,1,place,"great,fun"
" August 26, 2018",We had a great time at the sangria making challenge and plan to take more classes. Champagne and chocolate pairing is next!!,Susan Z.,5,36,10,1,"time,classes",great
