Date,Description,Name,Reting,rating_count,reviews_count
" June 3, 2018",The tour was good although the tickets offered on-line were for access to the crown. The tour company apologized and said their wasnt anything they could do. I found it odd they said they purchase the tickets from a company in Mexico and don't ha y any control over what is offered.,Richard K.,3,13,2
" February 10, 2019",Don't waste your money! This place is down to one small building and there was really nothing for my 5 year old daughter to do. She was so excited to go and ended up very disappointed.,Brittany M.,1,1,1
" January 9, 2019","DO NOT PURCHASE THROUGH GROUPON. Gray Line's prices are inflated on Groupon, so you think you are getting a great deal (approximately 50% off). Instead, you will actually pay more purchasing through Groupon vs. directly with Gray Line (not that I recommend doing that either). The Grand Canyon was of course beautiful, but the tour itself was a disaster. Gray Line does not properly coordinate their buses with the additions (Pink Jeep tour, hummer tour), and if there are any time conflicts neither party wants to take responsibility. Our bus was late and we received no lunch (the venue ran out of food, despite a few more buses scheduled after us). Much of the day is wasted on unnecessary stops, pickups and drop offs are a mess, you will be getting off one bus to get on another which is exactly the same multiple times. The trip to the Grand Canyon is worth it from Las Vegas, but I do not recommend this vendor. Their customer service also simply does not care. Multiple people on our tour called to complain, and we were all essentially told ""tough luck"". Only positive from Gray Line was the bus driver himself.",Silvana L.,1,1,1
" September 7, 2018","This tour was the perfect combination of Newport history and tasting of some local foods.  My husband and I ended up having the best fried chicken we ever had in our lives from 'Winner Winner'!  Our tour guides were very personable, friendly, and knowledgeable about Newport and it's history.  We would definitely recommend this tour to anyone - Newport tourist or resident!",Kelly C.,5,3,1
" March 14, 2019","It was just ok. A few interesting things, but nothing spectacular.",Michelle A.,3,2,2
" February 22, 2019",Groupon took my $$ and the system redeemed my ticket when it was not used and did not give me my money back,David F.,1,1,1
" January 27, 2019","RIP off do not purchase. Dirty bus, rude employees, we never got what we paid for.",Hannah D.,1,2,1
" October 20, 2018",Great tour and guide he was very informational  as we rode along learning the history of philidelphia!,Tim O.,5,1,1
" February 21, 2019",I wasn't able to attend because this event was three hours from Orlando,Kathlyn L.,2,4,3
" March 28, 2019",Had to cancel my Groupon due to the company stating they do not affiliate with Groupon. And the number on the Groupon should not be there they stated. Couldn’t receive a refund but a Groupon credit. Ridiculous!,Rosa M.,1,2,1
" March 24, 2019",I followed all of the instructions to redeem this Groupon. Contacted the company twice to confirm pick up info. Nobody showed up at the airport. Tried calling company several times and got no answer. Had to take a taxi. I would not recommend this company.,TARA J.,1,13,3
 7 days ago,Awesome experience!,Ahmed M A.,5,1,1
" March 29, 2019",If I could give Dylan Tours a higher rating I would! Outstanding!,Tammy A.,5,30,14
" November 12, 2018","I would have given a five as our guide was friendly and funny but we booked a haunted carriage ride and received no tales of the haunted.  While sitting outside of the Lalaurie we heard about Nicholas Cage losing the property to the IRS but nothing about the actual history of the Lalaurie.  It was extremely disappointing.  We took our carriage tour on November 2, 10pm mule was something Longhair",Robin M.,2,4,4
" March 8, 2019",Such a great place!!,Scott M.,5,1,1
" October 16, 2018","The weather was bad. The sea was too rough to be out. Almost half of the boat (including 3 of the 5 in our family) were throwing up in buckets the whole time. It was all you could eat and drink and none of us felt well enough to eat/drink. I will say the staff was kind and accommodating switching out our barf  buckets, but I would not waste your money on a company that will go out in bad weather",Melissa L.,1,2,2
" September 4, 2018","Great place for the family,",Irene M.,5,375,321
