Date,Description,Name,Reting,rating_count,reviews_count,label
" February 12, 2019",I love the place and the staff is always very nice!,Luciana S.,5,9,3,1
 a day ago,Always a great vibe and good service,Jonathan O.,5,4,1,1
" February 15, 2019",Excellent service. Fun time,Jason R.,5,1,1,1
" July 9, 2018",I had a very good experience. Very nice pool and ping pong tables.,Giuseppe C.,5,29,18,1
" August 13, 2018",Its my third time there and always a good time. Food is pretty good and the pitcher of beer is awesome. Akways fun to play and staff is cool,Chris,4,1,1,1
" September 12, 2018",Amazing experience! I love it,Luciana S.,5,9,3,1
" August 30, 2018",great staff and great food!,Briget G.,5,2,2,1
" July 18, 2018",Awesome place to play pool or just hang out with a few friends. Friendly staff makes it even better.,Paul S.,5,1,1,1
 9 minutes ago,"Nice place to spend time! Unfortunately the kitchen was closed when I got there at 11:45pm and around 1:15am they were telling was they were about to close in 15mints. 
But the place is nice!",John C.,4,1,1,1
" March 4, 2019",The best place to shoot pool and have a great time.,George C.,5,95,35,1
" March 1, 2019",I loved,Pereira G.,5,4,4,1
" February 13, 2019","Just the picher of Stella cost $25 so the coupon is really worth it. The place is very nice and the service was good, but without the coupon is really expensive.",Maria V.,4,2,2,1
" January 21, 2019",This Bar is so cool!! And this Groupon it’s just perfect dor a Sunday fun day. Chicken Wings are the best and cheese fries. Had so much fun!,Luana S.,5,3,3,1
" January 12, 2019","Fun place, lots of pool tables and other games. Good beer and bar food sensation too!",Vanessa L.,4,6,6,1
" January 10, 2019",Bartender let us choose any draft. Long wait for pool but had a great time,Samantha M.,5,1,1,1
" December 10, 2018",Awesome place to spend some time. I will definitely come back,Jamil J.,5,3,3,1
" December 6, 2018",Great place. I’ve gone back many times since,Kyle B.,5,4,3,1
" November 29, 2018",Love it,Hanan S.,4,41,16,1
" November 8, 2018","I love it! I’m regular costumer! Best place for food, drinks  and games ))))",Margarita,5,2,2,1
" November 7, 2018",Great people. Hot wings were really spicy I got what I asked for. Pool atmosphere very warm vibes.,Shaqueena T.,5,10,4,1
" October 31, 2018","Great deal. The bbq wings are delicious . We also enjoyed the billiards , darts, and pitcher of beer.  They had a Monday promotion where the table is free until 8pm. We had an absolute blast and would totally go again.",David L.,5,12,9,1
" October 18, 2018",A lot of fun! It’s a great setup for a bar and the Groupon deal is too good to pass up,Kyle B.,5,4,4,1
" October 8, 2018",I had a great time out with my girl.  Cool vibe and some great Nachos.,Paul C.,5,3,3,1
" September 26, 2018",Best billiard place around,George C.,5,95,35,1
" September 25, 2018","Loveth it! The waitress was darling and very professional with knowledge of the Groupon she guided us quickly to a good beer, appetizer & nice pool time game. I will buy it again!",Andrea R.,5,4,1,1
" September 19, 2018","I love this bar. Nice music, good food and many funny games. Staff is always friendly and helpful.",Kiro U.,5,2,1,1
" September 10, 2018","Fun place, lots of different games to play. The wings were great. Would definitely go back.",Sindy N.,5,10,8,1
" September 6, 2018",Great place. Attentive waitress. No naggy about spending more $$ to get a higher tip.,Brandon S.,5,3,3,1
" September 4, 2018",A very chill place to hang out play a few games with friends grab a great bite of mexican food and finish off with some pool,Martin C.,5,1,1,1
" August 28, 2018",Love this place!!! Excellent fried chicken tenders!!!,Annette P.,5,27,26,1
" August 13, 2018",Waitstaff was kind. Atmosphere was relaxed. It's a no frills place. The food was better than what you expect at a pool hall.,Michael H.,5,42,12,1
" August 8, 2018","It's great, fun time.",Erasmus M.,5,10,6,1
" July 29, 2018","Great deal for the groupon, even though they do free pool on Sundays until 5 regularly!",Courtney O.,5,3,2,1
" June 21, 2018","Great atmosphere & great drinks, would definitely come back",Dana F.,5,7,3,1
" June 14, 2018",Good deal.,D. W.,5,4,1,1
" June 4, 2018","the place is nice and food ok, service is slow",Fernando L.,3,5,1,1
" March 5, 2019",The wings were not on point for some reason. Usually are but not that day,Joseph C.,2,2,1,0
" May 28, 2018",Carolina was the women who was taking care of us. 5 stars for her. She was phenomenal. Thank you so much!,Eric G.,5,21,13,1
" May 25, 2018",Bad music but everything else was great!,Caroline P.,4,13,5,1
" May 23, 2018",Always a great time.,Rafael F.,5,52,35,1
" May 18, 2018",The staff was super friendly. Didn’t feel like a burden or that they didn’t care about us because we were using a coupon! 10/10 would recommend. Reasonably priced booze too!,Cliff S.,5,3,3,1
" May 17, 2018",Had an amazing time playing pingpong and billiar. Great atmosphere,Manuel F.,5,5,3,1
" May 11, 2018","Great place, fun, decor, good crowd",George C.,5,95,35,1
" August 9, 2018",bad service waited over an hour for a pool table and wasnt updated or told anything,WILMAR G.,1,22,5,0
" May 3, 2018","Great chill spot. Good food, good service.",Brandon S.,5,3,2,1
" May 1, 2018",Great food.,Encendia M.,5,1,1,1
" April 30, 2018",great service and the burger was great! vibes were great! love this place!,Bexsyra M.,5,2,2,1
" April 16, 2018","place is lively, staff friendly, always having a good time",Diana A.,5,13,8,1
" April 8, 2018",Love this bar! Games everywhere and sports on every tv. Quick service. I will come frequently outside of the groupon. New favorite bar!,Anita P.,5,4,4,1
" June 8, 2017",The waitress and bartender were very nice and the atmosphere on a weekday was so relaxing .,Melissa S.,5,6,3,1
" March 30, 2018",Nice and fun place but the wait to get a pool table was over an hour!,Amrit G.,4,23,12,1
" April 15, 2016","Love this place! Great drinks, good pool",Marc H.,5,1,1,1
" August 15, 2016",The staff was very helpful and attentive. The place had a really cool vibe and the nachos were awesome. It was a great way to spend the day!,Cat M.,5,1,1,1
" March 26, 2018",Had a ball,Nakima W.,5,29,13,1
" December 26, 2016",Great deal for the price...Went on Christmas and the games were free! Plus the food was excellent. And the waitress was very friendly. Very nice location too. Would definitely go back.,Regine T.,5,6,4,1
" April 23, 2016",Life hack: order the nachos with grilled chicken to oil u the pool stick and have a perfect game! amazing nachos,Billy D.,5,2,1,1
" April 21, 2015",Super fun and awesome burgers and beer! Great rotating draft selection - will definitely go back!,Megan S.,5,4,3,1
" May 9, 2017",bartender was so nice!!,Katelyn O.,5,5,3,1
" October 24, 2016",I took my boyfriend out with this Groupon app. We had a great time. My hour was up but they let me play until I finished my game. The beer was really really good. And we played ping pall and some fooseball with some other people who were there. I had a really great time and looking forward to coming there often! Great prices by the way!,Marlenys R.,5,7,2,1
" January 4, 2017","Great place to go and hang out with friends!  Awesome music and atmosphere, I would definitely recommend Break Bar and Billiards to my friends.  I hope to come back soon!!!",Brendon W.,5,2,1,1
" January 16, 2017",Really cool space. Waitress was so nice and genuine. Already told some friends. Will definitely be back,Dai S.,5,2,2,1
" June 6, 2016",Definitely would recommend this and the awesome waitress who took care of my table!!,Eric G.,5,21,13,1
" February 4, 2018","Nice atmosphere and cool place, but when we walked in we didn't know what to do or where we could sit. There were several tables and pool tables reserved for parties but they didn't all have reserved notes on them so we kept having to get up and move. The food was great though and the wait staff was friendly, when I was finally able to get someone to talk to me. No one told me there was a virtual waitlist for a pool table though, even though I asked about playing twice. My bf and I did go on a busy night but by the time they told me there was a list we was 13th in line for a pool table. We waited an hour and decided it was wasn't worth it. After having been there for 2.5 hrs. So, we didn't even get to do 50% of the groupon. 

I think your experience with this place really varies on the night you go and who's working. I can give it to them that the evening was busy, but my experience wasn't great so I would recommend going when there are fewer people. Maybe Monday night? (We went on a Thursday.)",Monique,3,5,1,0
" September 20, 2017","Really good chicken fingers, we were very pleased with the staff and their service! Highly recommended!",Nathalia V.,5,23,2,1
" April 25, 2016",Great spot ! Chicken fingers are pretty good. If you go on a Friday try and go before 7,Devin H.,5,4,1,1
" January 5, 2017","staff is very friendly and attentive and the food is delicious, they have different games and activities to keep you entertained plus they have a nice selection of beers. I will be visiting Break bar again.
thank you Break bar and Groupon for a great night out.",Victor G.,5,8,8,1
" November 7, 2016","It was a great experience with awesome service, delicious food and amazing games! Great place to socialize and have a great time.",Aripul H.,5,10,5,1
" June 2, 2016",Awesome sauce! Tons of fun. Great spot. Tons of games. Good music. Love love love!,Sarah K.,5,19,5,1
" July 27, 2017","Great service, great loaded nachos and ambience.",Ricardo S.,5,9,3,1
" August 31, 2016",Great service and great food. Trivia night on Tuesdays. Lots of options to do for the night,Claire S.,5,5,1,1
" March 19, 2018",For the kid in all of us. Loved it! Great place to take a date...or for a ladies night out...or to hang with the boys.,Linda M.,5,8,7,1
" February 24, 2016","Great service, great price. No complaints",Dmitriy L.,5,42,3,1
" October 21, 2016","The atmosphere was great, along with the service.",Barbara Y.,5,2,1,1
" June 7, 2016","Great atmosphere , fun place!",Karnit K.,5,7,7,1
" July 16, 2015",Great ambiance,Chris B.,5,14,3,1
" October 3, 2017",Love the atmosphere. You can find every game you want there. Food is tasty and they have a wide range of beer too,Jacobo S.,5,1,1,1
" April 3, 2017",Went with my kids and friends. The place was full but we were able to get a table fairly quickly. The food was decent as is bar food. The waitress however was a bit slow and forgot one of my orders. Overall we had a good time and will definitely go back.,Diana M.,4,33,13,1
" November 8, 2016","Such a hidden gem! Love all the game options they have. Their food is great, overall a really fun way to spend the evening.",Sarah K.,5,19,19,1
" October 23, 2016","Food is good, fun time and not super expensive.",Patrick M.,5,2,2,1
" January 16, 2017",Despite our wings coming out cold everything else was marvelous. Plenty of games for small or large crowds. Came on a Sunday for a football game and got an appetizer special (buy 1 get half off) big win!!,Juan,4,3,2,1
" August 31, 2016","Came here before. Its always a good experience. Lots of games, good food, beer, billiards, this place has got it all. I would recommend everyone to come check it out.",Hafzul B.,5,2,1,1
" August 5, 2015",Great time.   Good food.  Nice scene.,Carol D.,5,17,12,1
